key,zh-CN,en
card.60461804.desc,"6星以上的「英雄」怪兽＋「命运英雄」怪兽
这个卡名的②③的效果1回合各能使用1次。
①：对方场上的怪兽的攻击力下降自己墓地的「英雄」卡数量×200。
②：自己·对方回合可以发动。自己场上1张卡和场上1张卡破坏。
③：这张卡被战斗·效果破坏的场合才能发动。下个回合的准备阶段，从自己墓地把1只「命运英雄」怪兽特殊召唤。","1 Level 6 or higher ""HERO"" monster + 1 ""Destiny HERO"" monster
Monsters your opponent controls lose 200 ATK for each ""HERO"" card in your GY. You can only use each of the following effects of ""Destiny HERO - Destroyer Phoenix Enforcer"" once per turn. (Quick Effect): You can destroy both 1 card you control and 1 card on the field. If this card is destroyed by battle or card effect: You can activate this effect; Special Summon 1 ""Destiny HERO"" monster from your GY during the Standby Phase of the next turn."
card.63013339.name,闪刀姬-卡米丽娅,Sky Striker Ace - Camellia
card.63013339.types,[怪兽|效果|连接] 机械/暗,[Monster|Effect|Link] Machine/DARK
card.63013339.desc,"效果怪兽2只
这张卡不用连接召唤不能从额外卡组特殊召唤，自己对「闪刀姬-卡米丽娅」1回合只能有1次特殊召唤。
①：1回合1次，自己墓地的魔法卡是3张以下的场合才能发动。从卡组把1张「闪刀」卡送去墓地。
②：这张卡被送去墓地的场合，以对方场上1只怪兽为对象才能发动。这张卡在对方场上特殊召唤，作为对象的怪兽送去墓地。这张卡的控制权在这个回合的结束阶段回归原本持有者。","2 Effect Monsters
Must first be Link Summoned. You can only Special Summon ""Sky Striker Ace - Camellia(s)"" once per turn. Once per turn, if you have 3 or less Spells in your GY: You can send 1 ""Sky Striker"" card from your Deck to the GY. If this card is sent to the GY: You can target 1 monster your opponent controls; Special Summon this card to your opponent's field (but shift control to its owner during the End Phase of this turn), and if you do, send that targeted monster to the GY."
card.63060238.name,元素英雄 烈焰侠,Elemental HERO Blazeman
card.63060238.types,[怪兽|效果] 战士/炎,[Monster|Effect] Warrior/FIRE
card.63060238.desc,"这个卡名的①②的效果1回合只能有1次使用其中任意1个。
①：这张卡召唤·特殊召唤成功的场合才能发动。从卡组把1张「融合」加入手卡。
②：自己主要阶段才能发动。从卡组把「元素英雄 烈焰侠」以外的1只「元素英雄」怪兽送去墓地。这张卡直到回合结束时变成和这个效果送去墓地的怪兽相同属性·攻击力·守备力。这个效果的发动后，直到回合结束时自己不是融合怪兽不能特殊召唤。","If this card is Normal or Special Summoned: You can add 1 ""Polymerization"" from your Deck to your hand. During your Main Phase: You can activate this effect; you cannot Special Summon monsters for the rest of this turn, except Fusion Monsters, also send 1 ""Elemental HERO"" monster from your Deck to the GY, except ""Elemental HERO Blazeman"", and if you do, this card's Attribute and ATK/DEF become the same as the monster sent to the GY, until the end of this turn. You can only use 1 ""Elemental HERO Blazeman"" effect per turn, and only once that turn."
card.63166096.name,闪刀起动-交闪,Sky Striker Mobilize - Engage!
card.63166096.types,[魔法],[Spell]
card.63166096.desc,①：自己的主要怪兽区域没有怪兽存在的场合才能发动。从卡组把「闪刀起动-交闪」以外的1张「闪刀」卡加入手卡。那之后，自己墓地有魔法卡3张以上存在的场合，自己可以抽1张。,"If you control no monsters in your Main Monster Zone: Add 1 ""Sky Striker"" card from your Deck to your hand, except ""Sky Striker Mobilize - Engage!"", then, if you have 3 or more Spells in your GY, you can draw 1 card."
card.63288574.name,闪刀姬-燎里,Sky Striker Ace - Kagari
card.63288574.types,[怪兽|效果|连接] 机械/炎,[Monster|Effect|Link] Machine/FIRE
card.63288574.desc,"炎属性以外的「闪刀姬」怪兽1只
自己对「闪刀姬-燎里」1回合只能有1次特殊召唤。
①：这张卡特殊召唤的场合，以自己墓地1张「闪刀」魔法卡为对象才能发动。那张卡加入手卡。
②：这张卡的攻击力上升自己墓地的魔法卡数量×100。","1 non-FIRE ""Sky Striker Ace"" monster
If this card is Special Summoned: You can target 1 ""Sky Striker"" Spell in your GY; add it to your hand. Gains 100 ATK for each Spell in your GY. You can only Special Summon ""Sky Striker Ace - Kagari(s)"" once per turn."
card.63356631.name,凤翼的爆风,Phoenix Wing Wind Blast
card.63356631.types,[陷阱],[Trap]
card.63356631.desc,①：丢弃1张手卡，以对方场上1张卡为对象才能发动。那张对方的卡回到持有者卡组最上面。,"Discard 1 card, then target 1 card your opponent controls; place that target on the top of the Deck."
card.63767246.name,No.38 希望魁龙 银河巨神,Number 38: Hope Harbinger Dragon Titanic Galaxy
card.63767246.types,[怪兽|效果|超量] 龙/光,[Monster|Effect|Xyz] Dragon/LIGHT
card.63767246.desc,"8星怪兽×2
①：1回合1次，魔法卡的效果在场上发动时才能发动。那个效果无效，场上的那张卡作为这张卡的超量素材。
②：对方的攻击宣言时，把这张卡1个超量素材取除才能发动。攻击对象转移为这张卡进行伤害计算。
③：自己场上的其他的表侧表示的超量怪兽被战斗·效果破坏的场合，以自己场上1只超量怪兽为对象才能发动。那只怪兽的攻击力上升那些破坏的怪兽之内1只的原本攻击力数值。","2 Level 8 monsters
Once per turn, when a Spell Card or effect is activated on the field (Quick Effect): You can negate that effect, and if you do, attach that card to this card as material. When an opponent's monster declares an attack: You can detach 1 material from this card; change the attack target to this card and perform damage calculation. If a face-up Xyz Monster(s) you control is destroyed by battle or card effect: You can target 1 face-up Xyz Monster you control; it gains ATK equal to 1 of those destroyed monster's original ATK."
card.64332231.name,圣刻神龙-九神龙,Hieratic Sun Dragon Overlord of Heliopolis
card.64332231.types,[怪兽|效果|超量] 龙/光,[Monster|Effect|Xyz] Dragon/LIGHT
card.64332231.desc,"8星怪兽×2
①：1回合1次，把这张卡1个超量素材取除才能发动。自己的手卡·场上的怪兽任意数量解放，选那个数量的场上的卡破坏。","2 Level 8 monsters
Once per turn: You can detach 1 Xyz Material from this card; Tribute any number of monsters from your hand and/or your side of the field (minimum 1), then destroy an equal number of cards on the field."
card.65681983.name,抹杀之指名者,Crossout Designator
card.65681983.types,[魔法|速攻],[Spell|Quick-Play]
card.65681983.desc,"这个卡名的卡在1回合只能发动1张。
①：宣言1个卡名才能发动。宣言的1张卡从卡组除外。这个回合中，这个效果除外的卡以及原本卡名和那张卡相同的卡的效果无效化。","Declare 1 card name; banish 1 of that declared card from your Main Deck, and if you do, negate its effects, as well as the activated effects and effects on the field of cards with the same original name, until the end of this turn. You can only activate 1 ""Crossout Designator"" per turn."
card.66011101.name,No.60 刻不知之杜加雷斯,Number 60: Dugares the Timeless
card.66011101.types,[怪兽|效果|超量] 恶魔/炎,[Monster|Effect|Xyz] Fiend/FIRE
card.66011101.desc,"4星怪兽×2
这个卡名的效果1回合只能使用1次。
①：可以把这张卡2个超量素材取除，从以下效果选择1个发动。
●自己抽2张。那之后，选自己1张手卡丢弃。下次的自己抽卡阶段跳过。
●从自己墓地把1只怪兽守备表示特殊召唤。下次的自己主要阶段1跳过。
●自己场上1只怪兽的攻击力直到回合结束时变成2倍。下次的自己回合的战斗阶段跳过。","2 Level 4 monsters
You can detach 2 materials from this card, then activate 1 of the following effects;
● Skip your next Draw Phase, also draw 2 cards, then discard 1 card.
● Skip your next Main Phase 1, also Special Summon 1 monster from your GY in Defense Position.
● Skip the Battle Phase of your next turn, also double the ATK of 1 monster you control until the end of this turn.
You can only use this effect of ""Number 60: Dugares the Timeless"" once per turn."
card.70368879.name,成金哥布林,Upstart Goblin
card.70368879.types,[魔法],[Spell]
card.70368879.desc,①：自己抽1张。那之后，对方回复1000基本分。,"Draw 1 card, then your opponent gains 1000 LP."
card.71039903.name,太古的白石,The White Stone of Ancients
card.71039903.types,[怪兽|效果|调整] 龙/光,[Monster|Effect|Tuner] Dragon/LIGHT
card.71039903.desc,"这个卡名的②的效果1回合只能使用1次。
①：这张卡被送去墓地的回合的结束阶段才能发动。从卡组把1只「青眼」怪兽特殊召唤。
②：把墓地的这张卡除外，以自己墓地1只「青眼」怪兽为对象才能发动。那只怪兽加入手卡。","Once per turn, during the End Phase, if this card is in the GY because it was sent there this turn: You can Special Summon 1 ""Blue-Eyes"" monster from your Deck. You can banish this card from your GY, then target 1 ""Blue-Eyes"" monster in your GY; add it to your hand. You can only use this effect of ""The White Stone of Ancients"" once per turn."
card.71587526.name,因果切断,Karma Cut
card.71587526.types,[陷阱],[Trap]
card.71587526.desc,①：丢弃1张手卡，以对方场上1只表侧表示怪兽为对象才能发动。那只对方的表侧表示怪兽除外。这个效果除外的卡的同名卡在对方墓地存在的场合，再把那些同名卡全部除外。,"Discard 1 card, then target 1 face-up monster your opponent controls; banish that target, then banish all cards with the same name as that monster from your opponent's Graveyard."
card.73628505.name,星球改造,Terraforming
card.73628505.types,[魔法],[Spell]
card.73628505.desc,①：从卡组把1张场地魔法卡加入手卡。,Add 1 Field Spell from your Deck to your hand.
card.73642296.name,屋敷童,Ghost Belle & Haunted Mansion
card.73642296.types,[怪兽|效果|调整] 不死/地,[Monster|Effect|Tuner] Zombie/EARTH
card.73642296.desc,"这个卡名的效果1回合只能使用1次。
①：包含以下其中任意种效果的魔法·陷阱·怪兽的效果发动时，把这张卡从手卡丢弃才能发动。那个发动无效。
●从墓地把卡加入手卡·卡组·额外卡组的效果
●从墓地把怪兽特殊召唤的效果
●从墓地把卡除外的效果","When a card or effect is activated that includes any of these effects (Quick Effect): You can discard this card; negate that activation.
● Add a card(s) from the GY to the hand, Deck, and/or Extra Deck.
● Special Summon a Monster Card(s) from the GY.
● Banish a card(s) from the GY.
You can only use this effect of ""Ghost Belle & Haunted Mansion"" once per turn."
card.75047173.name,至爱接触,Favorite Contact
card.75047173.types,[陷阱],[Trap]
card.75047173.desc,"这个卡名的卡在1回合只能发动1张。
①：从自己的手卡·场上·墓地·除外状态让融合怪兽决定的融合素材怪兽用喜欢的顺序回到卡组下面，把以「英雄」怪兽为融合素材的那1只融合怪兽从额外卡组无视召唤条件特殊召唤。这个效果让「元素英雄 新宇侠」回到卡组的场合，双方不能让这个效果特殊召唤的怪兽回到额外卡组。","Special Summon 1 Fusion Monster from your Extra Deck that mentions a ""HERO"" monster as material, ignoring its Summoning conditions, by placing the Fusion Materials mentioned on it on the bottom of the Deck in any order, from among cards in your hand, field, GY, and/or your banished cards. If you placed ""Elemental HERO Neos"" into the Deck, neither player can return the monster Special Summoned by this effect to the Extra Deck. You can only activate 1 ""Favorite Contact"" per turn."
card.75147529.name,闪刀姬-泽克,Sky Striker Ace - Zeke
card.75147529.types,[怪兽|效果|连接] 机械/暗,[Monster|Effect|Link] Machine/DARK
card.75147529.desc,"包含「闪刀姬」怪兽的怪兽2只
这张卡不用连接召唤不能特殊召唤，自己对「闪刀姬-泽克」1回合只能有1次特殊召唤。
①：这张卡连接召唤的场合，以场上1只表侧表示怪兽为对象才能发动。那只怪兽直到下次的对方结束阶段除外。
②：1回合1次，以自己场上1张其他卡为对象才能发动。这张卡的攻击力上升1000。那之后，作为对象的卡送去墓地。","2 monsters, including a ""Sky Striker Ace"" monster
Must be Link Summoned. You can only Special Summon ""Sky Striker Ace - Zeke(s)"" once per turn. If this card is Link Summoned: You can target 1 face-up monster on the field; banish it until your opponent's next End Phase. Once per turn: You can target 1 other card you control; this card gains 1000 ATK, then, send the targeted card to the GY."
card.76072561.name,闪刀姬=零露,Sky Striker Ace = Zero
card.76072561.types,[怪兽|效果|连接] 机械/光,[Monster|Effect|Link] Machine/LIGHT
card.76072561.desc,"「闪刀姬」怪兽2只
自己对「闪刀姬=零露」1回合只能有1次特殊召唤，这张卡不能作为连接素材。这个卡名的①②的效果1回合只能有1次使用其中任意1个。
①：这张卡特殊召唤的场合才能发动。从自己的卡组·墓地把1张「闪刀」魔法卡加入手卡。
②：自己·对方回合，把这张卡解放才能发动。「闪刀姬-零衣」「闪刀姬-露世」各1只从自己的卡组·墓地特殊召唤。那之后，可以把场上1张卡破坏。","2 ""Sky Striker Ace"" monsters
You can only Special Summon ""Sky Striker Ace = Zero(s)"" once per turn. Cannot be used as Link Material. If this card is Special Summoned: You can add 1 ""Sky Striker"" Spell from your Deck or GY to your hand. (Quick Effect): You can Tribute this card; Special Summon 1 ""Sky Striker Ace - Raye"" and 1 ""Sky Striker Ace - Roze"" from your Deck and/or GY, then you can destroy 1 card on the field. You can only use 1 ""Sky Striker Ace = Zero"" effect per turn, and only once that turn."
card.79814787.name,传说的白石,The White Stone of Legend
card.79814787.types,[怪兽|效果|调整] 龙/光,[Monster|Effect|Tuner] Dragon/LIGHT
card.79814787.desc,①：这张卡被送去墓地的场合发动。从卡组把1只「青眼白龙」加入手卡。,"If this card is sent to the GY: Add 1 ""Blue-Eyes White Dragon"" from your Deck to your hand."
card.81439173.name,愚蠢的埋葬,Foolish Burial
card.81439173.types,[魔法],[Spell]
card.81439173.desc,①：从卡组把1只怪兽送去墓地。,Send 1 monster from your Deck to the GY.
card.83838727.name,抽卡面包,Sandwich Day
card.83838727.types,[魔法],[Spell]
card.83838727.desc,"这个卡名的卡在1回合只能发动1张。
①：自己墓地有怪兽存在的场合，支付200基本分才能发动。自己抽1张，给双方确认。那是怪兽的场合，再让那个属性的以下效果适用。
●不在自己墓地存在的属性：自己抽1张。
●自己墓地存在的属性：选自己1张手卡丢弃。","If you have a monster in your GY: Pay 200 LP; draw 1 card and reveal it, then, if it is a monster, apply this effect based on its Attribute.
● An Attribute not in your GY: Draw 1 card.
● An Attribute in your GY: Discard 1 card.
You can only activate 1 ""Sandwich Day"" per turn."
card.83994433.name,闪珖龙 星尘,Stardust Spark Dragon
card.83994433.types,[怪兽|效果|同调] 龙/光,[Monster|Effect|Synchro] Dragon/LIGHT
card.83994433.desc,"调整＋调整以外的怪兽1只以上
1回合1次，选择自己场上表侧表示存在的1张卡才能发动。选择的卡在这个回合只有1次不会被战斗以及卡的效果破坏。这个效果在对方回合也能发动。","1 Tuner + 1+ non-Tuner monsters
Once per turn (Quick Effect): You can target 1 face-up card you control; once during this turn, it cannot be destroyed by battle or card effects."
card.89631139.name,青眼白龙,Blue-Eyes White Dragon
card.89631139.types,[怪兽|通常] 龙/光,[Monster|Normal] Dragon/LIGHT
card.89631139.desc,以高攻击力著称的传说之龙。任何对手都能粉碎，其破坏力不可估量。,"This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale."
card.89943723.name,元素英雄 新宇侠,Elemental HERO Neos
card.89943723.types,[怪兽|通常] 战士/光,[Monster|Normal] Warrior/LIGHT
card.89943723.desc,从新宇宙来的新元素英雄。凭借与新空间侠接触融合，发挥未知的力量！,''A new Elemental HERO has arrived from Neo-Space! When he initiates a Contact Fusion with a Neo-Spacian his unknown powers are unleashed.''
card.90673289.name,闪刀姬-雫空,Sky Striker Ace - Shizuku
card.90673289.types,[怪兽|效果|连接] 机械/水,[Monster|Effect|Link] Machine/WATER
card.90673289.desc,"水属性以外的「闪刀姬」怪兽1只
自己对「闪刀姬-雫空」1回合只能有1次特殊召唤。
①：对方场上的怪兽的攻击力·守备力下降自己墓地的魔法卡数量×100。
②：这张卡特殊召唤的回合的结束阶段才能发动。同名卡不在自己墓地存在的1张「闪刀」魔法卡从卡组加入手卡。","1 non-WATER ""Sky Striker Ace"" monster
Monsters your opponent controls lose 100 ATK/DEF for each Spell in your GY. Once per turn, during the End Phase, if this card was Special Summoned this turn: You can add 1 ""Sky Striker"" Spell from your Deck to your hand, with a name different from the cards in your GY. You can only Special Summon ""Sky Striker Ace - Shizuku(s)"" once per turn."
card.93347961.name,元素英雄 火焰翼侠-火焰一击,Elemental HERO Flame Wingman - Infernal Rage
card.93347961.types,[怪兽|效果|融合] 战士/风,[Monster|Effect|Fusion] Warrior/WIND
card.93347961.desc,"属性不同的「元素英雄」怪兽×2
这张卡不用融合召唤不能特殊召唤。这个卡名的①②的效果1回合各能使用1次。
①：这张卡特殊召唤成功的场合才能发动。从自己的卡组·墓地选1张「至爱」卡加入手卡。
②：把用通常怪兽为素材作融合召唤的这张卡解放才能发动。从卡组·额外卡组把1只7星以下的不能通常召唤的「元素英雄」怪兽无视召唤条件特殊召唤。","2 ""Elemental HERO"" monsters with different Attributes
Must be Fusion Summoned. If this card is Special Summoned: You can add 1 card with ""Favorite"" in its name from your Deck or GY to your hand. You can Tribute this card that was Fusion Summoned using a Normal Monster(s) as material; Special Summon 1 Level 7 or lower ""Elemental HERO"" monster from your Deck or Extra Deck that cannot be Normal Summoned/Set, ignoring its Summoning conditions. You can only use each effect of ""Elemental HERO Flame Wingman - Infernal Rage"" once per turn."
card.94145021.name,小丑与锁鸟,Droll & Lock Bird
card.94145021.types,[怪兽|效果] 魔法师/风,[Monster|Effect] Spellcaster/WIND
card.94145021.desc,①：自己·对方回合，对方在抽卡阶段以外从卡组把卡加入手卡的场合，把这张卡从手卡送去墓地才能发动。这个回合，双方不能从卡组把卡加入手卡。,"If a card(s) is added from the Main Deck to your opponent's hand, except during the Draw Phase (Quick Effect): You can send this card from your hand to the GY; for the rest of this turn, cards cannot be added from either player's Main Deck to the hand."
card.94145022.name,小丑与锁鸟,Droll & Lock Bird
card.94145022.types,[怪兽|效果] 魔法师/风,[Monster|Effect] Spellcaster/WIND
card.94145022.desc,①：自己·对方回合，对方在抽卡阶段以外从卡组把卡加入手卡的场合，把这张卡从手卡送去墓地才能发动。这个回合，双方不能从卡组把卡加入手卡。,"If a card(s) is added from the Main Deck to your opponent's hand, except during the Draw Phase (Quick Effect): You can send this card from your hand to the GY; for the rest of this turn, cards cannot be added from either player's Main Deck to the hand."
card.97268402.name,效果遮蒙者,Effect Veiler
card.97268402.types,[怪兽|效果|调整] 魔法师/光,[Monster|Effect|Tuner] Spellcaster/LIGHT
card.97268402.desc,①：对方主要阶段，把这张卡从手卡送去墓地，以对方场上1只效果怪兽为对象才能发动。那只对方怪兽的效果直到回合结束时无效。,"During your opponent's Main Phase (Quick Effect): You can send this card from your hand to the GY, then target 1 Effect Monster your opponent controls; negate the effects of that face-up monster your opponent controls, until the end of this turn."
card.98338152.name,闪刀机-黑寡妇抓锚,Sky Striker Mecha - Widow Anchor
card.98338152.types,[魔法|速攻],[Spell|Quick-Play]
card.98338152.desc,①：自己的主要怪兽区域没有怪兽存在的场合，以场上1只效果怪兽为对象才能发动。那只怪兽的效果直到回合结束时无效。那之后，自己墓地有魔法卡3张以上存在的场合，可以把那只怪兽的控制权直到结束阶段得到。,"If you control no monsters in your Main Monster Zone: Target 1 face-up Effect Monster on the field; negate that face-up monster's effects until the end of this turn, then, if you have 3 or more Spells in your GY, you can take control of that monster until the End Phase."
card.98462037.name,闪刀姬-阿泽莉娅,Sky Striker Ace - Azalea
card.98462037.types,[怪兽|效果|连接] 机械/暗,[Monster|Effect|Link] Machine/DARK
card.98462037.desc,"光·暗属性怪兽2只
这张卡不用连接召唤不能特殊召唤，自己对「闪刀姬-阿泽莉娅」1回合只能有1次特殊召唤。
①：这张卡特殊召唤的场合，以场上1张卡为对象才能发动。那张卡破坏。那之后，自己墓地的魔法卡是3张以下的场合，这张卡送去墓地。
②：1回合1次，这张卡和对方怪兽进行战斗的伤害步骤开始时，从自己墓地把1张魔法卡除外才能发动。那只对方怪兽破坏。","2 LIGHT and/or DARK monsters
Must be Link Summoned. You can only Special Summon ""Sky Striker Ace - Azalea(s)"" once per turn. If this card is Special Summoned: You can target 1 card on the field; destroy it, then, if you have 3 or less Spells in your GY, send this card to the GY. Once per turn, at the start of the Damage Step, if this card battles an opponent's monster: You can banish 1 Spell from your GY; destroy that opponent's monster."
ui.loading.animated,正在加载中{dots},Loading{dots}
err.addressables_update_failed,Addressables 更新失败：{message},Addressables update failed: {message}
err.unsupported_platform,当前平台不支持内容更新：{message},Content updates are not supported on this platform: {message}
ui.lobby.deck,卡组,Deck
ui.lobby.exit,退出,Exit
ui.lobby.shop,商城,Shop
ui.lobby.mail,邮件,Mail
ui.lobby.friend,好友,Friends
ui.lobby.settings,设置,Settings
err.content_update_required,游戏内容已更新，请重启游戏,Game content has changed. Please restart the game.
err.content_not_ready,游戏配置未就绪，请重试,Game configuration is not ready. Please retry.
ui.content.restart_required,游戏内容已更新，请退出并重新启动游戏。,Game content has changed. Please quit and restart.
ui.content.check_failed,检查游戏内容失败，请检查网络后重试。,Unable to check game content. Check your connection and retry.
ui.content.exit,退出游戏,Quit game
ui.content.retry,重试,Retry
